iteration,lr,dataset,policy_loss,value_loss,win_rate,score_rate,tactic_acc,selfplay_sec,train_sec
1,0.01,2299,1.20703,0.04274,,,,256.4,9.9
2,0.01,2540,1.38901,0.05325,,,,215.8,12.4
3,0.01,2809,1.56129,0.06793,,,,224.8,14.2
4,0.01,3054,1.68325,0.07952,,,,248.0,16.3
5,0.01,3270,1.78421,0.0909,,,,198.3,16.6
6,0.01,3521,1.89428,0.10304,,,,234.1,16.2
7,0.01,3790,1.95316,0.10858,,,,247.6,20.3
8,0.01,4091,2.04291,0.10937,,,,259.0,19.3
9,0.01,4349,2.09917,0.1099,,,,250.0,20.0
10,0.01,4614,2.15647,0.11506,0.9,0.925,0.055,234.6,23.6
11,0.01,4843,2.19677,0.11698,,,,205.1,20.5
12,0.01,5097,2.23904,0.11697,,,,226.9,22.9
13,0.01,5362,2.27549,0.12006,,,,241.0,22.0
14,0.01,5659,2.31221,0.12277,,,,255.5,27.3
15,0.01,5903,2.33639,0.12561,,,,218.8,28.9
16,0.01,6135,2.35238,0.12691,,,,226.1,29.6
17,0.01,6368,2.38532,0.13621,,,,216.9,30.6
18,0.01,6622,2.40566,0.13067,,,,229.8,27.1
19,0.01,6875,2.42466,0.13136,,,,232.3,32.2
20,0.01,7156,2.44871,0.13576,1.0,1.0,0.095,241.7,29.4
21,0.01,7476,2.46649,0.13228,,,,274.0,33.2
22,0.01,7754,2.47913,0.13306,,,,229.4,30.0
23,0.01,8000,2.51377,0.13158,,,,243.7,35.7
24,0.01,8000,2.58165,0.13418,,,,268.2,36.0
25,0.005,8000,2.63958,0.13191,,,,239.8,33.7
26,0.005,8000,2.71385,0.14756,,,,243.3,30.3
27,0.005,8000,2.79769,0.14882,,,,261.3,35.1
28,0.005,8000,2.88357,0.15226,,,,270.1,35.5
29,0.005,8000,2.93733,0.161,,,,208.1,32.3
30,0.005,8000,2.99433,0.16938,0.9,0.925,0.11,216.7,36.0
31,0.005,8000,3.02018,0.17912,,,,253.3,34.9
32,0.005,8000,3.01995,0.18436,,,,265.4,32.1
33,0.005,8000,3.02073,0.18616,,,,241.8,30.8
34,0.005,8000,3.01931,0.19122,,,,220.0,31.4
35,0.005,8000,3.01864,0.19078,,,,238.8,36.0
36,0.005,8000,3.01251,0.19458,,,,253.6,31.5
37,0.005,8000,3.01401,0.19461,,,,231.7,36.1
38,0.005,8000,3.01248,0.19699,,,,235.3,35.4
39,0.005,8000,3.00393,0.20175,,,,208.9,37.5
40,0.005,8000,2.99867,0.20903,0.95,0.95,0.1,235.1,36.8
41,0.005,8000,3.00123,0.21111,,,,237.1,35.8
42,0.005,8000,2.99296,0.21605,,,,225.8,36.1
43,0.005,8000,2.99109,0.21496,,,,222.1,35.1
44,0.005,8000,2.99754,0.224,,,,230.1,32.5
45,0.001,8000,3.00775,0.22833,,,,250.4,35.5
46,0.001,8000,3.02369,0.24141,,,,236.1,31.6
47,0.001,8000,3.04462,0.23995,,,,226.3,35.4
48,0.001,8000,3.05259,0.24336,,,,200.3,32.9
49,0.001,8000,3.06774,0.2617,,,,230.2,36.0
50,0.001,8000,3.08786,0.26824,0.95,0.975,0.11,236.0,30.9
51,0.001,8000,3.10051,0.27183,,,,245.4,31.3
52,0.001,8000,3.1173,0.28142,,,,253.6,37.0
53,0.001,8000,3.13198,0.28163,,,,191.4,39.2
54,0.001,8000,3.13335,0.28528,,,,197.3,36.1
55,0.001,8000,3.14524,0.28815,,,,239.7,33.9
56,0.001,8000,3.16174,0.2975,,,,242.3,35.5
57,0.001,8000,3.16808,0.30501,,,,214.7,33.0
58,0.001,8000,3.17071,0.30815,,,,184.6,37.1
59,0.001,8000,3.1749,0.31303,,,,201.9,37.4
60,0.001,8000,3.1952,0.32723,0.95,0.975,0.11,224.2,31.5
